ProductGroup,ItemFamily,RequiredStoreQty,StoreCode
C0101,C010101,6,400
C0102,C010201,6,400
C0102,C010202,6,400
C0102,C010203,6,400
C0102,C010204,6,400
C0103,C010301,6,400
C0103,C010302,6,400
C0103,C010303,6,400
C0103,C010304,6,400
C0103,C010305,6,400
C0103,C010306,6,400
C0104,C010401,6,400
C0105,C010501,6,400
C0107,C010701,6,400
C0201,C020101,6,400
C0202,C020201,6,400
C0202,C020202,6,400
C0202,C020203,6,400
C0202,C020204,6,400
C0202,C020205,6,400
C0203,C020301,6,400
C0203,C020302,6,400
C0203,C020303,6,400
C0203,C020304,6,400
C0204,C020401,6,400
C0206,C020601,6,400
C0301,C030101,6,400
C0301,C030102,6,400
C0301,C030103,6,400
C0301,C030104,6,400
C0301,C030105,6,400
C0301,C030106,6,400
C0301,C030107,6,400
C0601,C060101,6,400
C0601,C060102,6,400
C0601,C060103,6,400
C0601,C060104,6,400
C0601,C060105,6,400
C0601,C060106,6,400
C0601,C060107,6,400
C0701,C070101,6,400
C0701,C070102,6,400
C0701,C070103,6,400
C0702,C070201,6,400
C0702,C070202,6,400
C0703,C070301,6,400
C0703,C070302,6,400
C0703,C070303,6,400
C0703,C070304,6,400
C0704,C070401,6,400
C0704,C070402,6,400
C0705,C070501,6,400
C0706,C070601,6,400
C0801,C080101,5,400
C0801,C080102,5,400
C0802,C080201,12,400
C0802,C080202,12,400
C0901,C090101,6,400
C0902,C090201,6,400
C0902,C090202,6,400
C0903,C090301,6,400
C0904,C090401,6,400
C1201,C120101,6,400
C1202,C120201,6,400
C1202,C120202,6,400
C1202,C120203,6,400
C1202,C120204,6,400
C1203,C120301,6,400
C1203,C120302,6,400
C1203,C120303,6,400
C1203,C120304,6,400
C1203,C120305,6,400
C1203,C120306,6,400
C1205,C120501,6,400
C1401,C140101,12,400
C1402,C140201,12,400
C1403,C140301,12,400
C1501,C150101,6,400
C1501,C150102,6,400
C1501,C150103,6,400
C1501,C150104,6,400
C1501,C150105,6,400
C1501,C150106,6,400
C1501,C150107,6,400
C1501,C150108,6,400
C1501,C150109,6,400
C1501,C150110,6,400
C1502,C150203,6,400
C1502,C150205,6,400
C1601,C160101,6,400
C1601,C160102,6,400
C1601,C160103,6,400
C1601,C160112,6,400
F0101,F010101,12,400
F0102,F010201,6,400
F0103,F010301,6,400
F0105,F010501,6,400
F0106,F010601,6,400
F0107,F010701,6,400
F0201,F020101,6,400
F0202,F020201,6,400
F0301,F030101,6,400
F0302,F030201,6,400
F0304,F030401,6,400
F0305,F030501,6,400
F0306,F030601,6,400
F0401,F040101,6,400
F0401,F040102,6,400
F0401,F040103,6,400
F0401,F040104,6,400
F0402,F040201,6,400
F0402,F040202,6,400
F0402,F040203,6,400
F0402,F040204,6,400
F0403,F040301,6,400
F0403,F040302,6,400
F0403,F040303,6,400
F0404,F040401,6,400
F0404,F040402,6,400
F0404,F040403,6,400
H0101,H010101,5,400
H0102,H010201,6,400
H0102,H010202,6,400
H0102,H010203,6,400
H0103,H010301,6,400
H0103,H010302,6,400
H0104,H010401,6,400
H0104,H010402,6,400
H0104,H010403,6,400
H0105,H010501,6,400
H0105,H010502,6,400
H0105,H010503,6,400
H0105,H010504,6,400
H0105,H010505,6,400
H0105,H010506,6,400
H0108,H010801,6,400
H0201,H020101,6,400
H0202,H020201,6,400
H0301,H030101,6,400
H0301,H030102,6,400
H0301,H030103,6,400
H0301,H030104,6,400
H0301,H030105,6,400
H0302,H030201,6,400
H0303,H030301,6,400
H0303,H030302,6,400
H0303,H030303,6,400
H0304,H030401,6,400
H0306,H030601,6,400
H0306,H030602,6,400
H0306,H030604,6,400
H0307,H030701,6,400
H0307,H030702,6,400
H0401,H040101,6,400
H0401,H040102,6,400
H0401,H040103,6,400
H0401,H040104,6,400
H0403,H040301,6,400
H0403,H040302,6,400
H0403,H040303,5,400
H0404,H040401,6,400
H0404,H040402,6,400
H0405,H040501,6,400
H0405,H040502,6,400
H0406,H040601,6,400
H0406,H040602,6,400
H0406,H040603,6,400
H0407,H040701,6,400
H0407,H040702,6,400
H0408,H040801,6,400
H0408,H040802,6,400
H0408,H040803,6,400
H0501,H050101,6,400
H0501,H050102,6,400
H0502,H050201,6,400
H0502,H050203,6,400
H0503,H050301,6,400
H0701,H070101,6,400
H0701,H070103,6,400
