Linecode(7),Pack Id,Pack Type,Pack Barcode,Pack Outer,Linecode(12),Ratio,All Sizes in Pack?,Pack Level,Linked Pack ID
G111080,90004,BH,4111080900046,8,G11108000003,3,Y,PACK,
G111080,90004,BH,4111080900046,8,G11108000001,3,Y,PACK,
G111080,90004,BH,4111080900046,8,G11108000002,2,Y,PACK,
B362647,90007,BH,1362647900075,20,B36264700001,2,Y,PACK,
B362647,90007,BH,1362647900075,20,B36264700002,4,Y,PACK,
B362647,90007,BH,1362647900075,20,B36264700003,5,Y,PACK,
B362647,90007,BH,1362647900075,20,B36264700004,3,Y,PACK,
B362647,90007,BH,1362647900075,20,B36264700005,3,Y,PACK,
B362647,90007,BH,1362647900075,20,B36264700006,3,Y,PACK,
F774146,90007,BH,3774146900070,20,F77414600001,3,Y,PACK,
F774146,90007,BH,3774146900070,20,F77414600002,4,Y,PACK,
F774146,90007,BH,3774146900070,20,F77414600003,6,Y,PACK,
F774146,90007,BH,3774146900070,20,F77414600004,4,Y,PACK,
F774146,90007,BH,3774146900070,20,F77414600005,2,Y,PACK,
F774146,90007,BH,3774146900070,20,F77414600006,1,Y,PACK,
B021212,90001,S,1021212900017,2,B02121200001,2,N,INNER,
B021212,90002,BH,1021212900024,60,B02121200001,60,N,SOLID,90001
B021212,90003,S,1021212900031,2,B02121200002,2,N,INNER,
B021212,90004,BH,1021212900048,60,B02121200002,60,N,SOLID,90003
B021212,90005,S,1021212900055,2,B02121200003,2,N,INNER,
B021212,90006,BH,1021212900062,60,B02121200003,60,N,SOLID,90005
B021212,90007,S,1021212900079,2,B02121200004,2,N,INNER,
B021212,90008,BH,1021212900086,60,B02121200004,60,N,SOLID,90007
