Location Code,Column1
,0.00000000000000000000
0400,409927.02000000000000000000
0401,2038009.78490000000000000000
0402,2478661.42780000000000000000
0403,0.31562679123298730000
0404,89237.36000000000000000000
0405,2667612.88652000000000000000
0406,2303219.63976000000012400000
0407,173337.53000000000000000000
0408,8304.52000000000000000000
0409,1911015.18200000000000000000
0410,2361692.44834000000004000000
0411,343286.99000000000000000000
0412,1711501.67000000000000000000
0414,2079159.58000000000000000000
0415,2052583.50500000000000000000
0416,160985.87000000000000000000
0417,2157866.62334000000016000000
0418,1308598.69000000000000000000
0419,2163001.62939999999992008200
0420,18977417.04000000000000000000
0421,174739.17600000000000000000
0422,0.00000000000000000000
0423,-0.03000000000000000000
0424,453964.58000000000000000000
0425,343930.58000000000000000000
0426,339411.24000000000000000000
0427,9459.96000000000000000000
INTRANSIT,0.00000000000000000000
INTRANSIT,0.00000000000000000000
INTRANSIT,1096.21000000000000000000
INTRANSIT,14157.57000000000000000000
ISDIFFER,-4193.77000000000000000000
ISDIFFER,-19160.25000000000000000000
UAEHO,2006.33000000000000000000

